time,open,high,low,close,volume
1778616000000,500,503.5,498.5,502,1000000
1778702400000,502,505.96,500.5,504.46,1005000
1778788800000,504.46,508.66,502.96,507.16,1010000
1778875200000,507.16,511.4,505.66,509.9,1015000
1779134400000,509.9,514.03,508.4,512.53,1020000
1779220800000,512.53,516.46,511.03,514.96,1025000
1779307200000,514.96,518.65,513.46,517.15,1030000
1779393600000,517.15,520.63,515.65,519.13,1035000
1779480000000,519.13,522.49,517.63,520.99,1040000
1779739200000,520.99,524.35,519.49,522.85,1045000
1779825600000,522.85,526.35,521.35,524.85,1050000
1779912000000,524.85,528.62,523.35,527.12,1055000
1779998400000,527.12,531.27,525.62,529.77,1060000
1780084800000,529.77,534.37,528.27,532.87,1065000
1780344000000,532.87,537.92,531.37,536.42,1070000
1780430400000,536.42,541.85,534.92,540.35,1075000
1780516800000,540.35,546.03,538.85,544.53,1080000
1780603200000,544.53,550.28,543.03,548.78,1085000
1780689600000,548.78,554.36,547.28,552.86,1090000
1780948800000,552.86,558.02,551.36,556.52,1095000
1781035200000,556.52,561,555.02,559.5,1100000
1781121600000,559.5,563.07,558,561.57,1105000
1781208000000,561.57,564.06,560.07,562.56,1110000
1781294400000,562.56,564.06,560.86,562.36,1115000
1781553600000,562.36,563.86,559.44,560.94,1120000
1781640000000,560.94,562.44,556.85,558.35,1125000
1781726400000,558.35,559.85,553.23,554.73,1130000
1781812800000,554.73,556.23,548.78,550.28,1135000
1781899200000,550.28,551.78,543.76,545.26,1140000
1782158400000,545.26,546.76,538.45,539.95,1145000
1782244800000,539.95,541.45,533.13,534.63,1150000
1782331200000,534.63,536.13,528.06,529.56,1155000
1782417600000,529.56,531.06,523.45,524.95,1160000
1782504000000,524.95,526.45,519.46,520.96,1165000
1782763200000,520.96,522.46,516.16,517.66,1170000
1782849600000,517.66,519.16,513.57,515.07,1175000
1782936000000,515.07,516.57,511.62,513.12,1180000
1783022400000,513.12,514.62,510.21,511.71,1185000
1783108800000,511.71,513.21,509.18,510.68,1190000
1783368000000,510.68,512.18,508.38,509.88,1195000
1783454400000,509.88,511.38,507.67,509.17,1200000
1783540800000,509.17,510.67,506.92,508.42,1205000
1783627200000,508.42,509.92,506.08,507.58,1210000
1783713600000,507.58,509.08,505.13,506.63,1215000
1783972800000,506.63,508.13,504.13,505.63,1220000
1784059200000,505.63,507.13,503.19,504.69,1225000
1784145600000,504.69,506.19,502.47,503.97,1230000
1784232000000,503.97,505.47,502.14,503.64,1235000
1784318400000,503.64,505.4,502.14,503.9,1240000
1784577600000,503.9,506.41,502.4,504.91,1245000
1784664000000,504.91,508.29,503.41,506.79,1250000
1784750400000,506.79,511.11,505.29,509.61,1255000
1784836800000,509.61,514.86,508.11,513.36,1260000
1784923200000,513.36,519.46,511.86,517.96,1265000
1785182400000,517.96,524.74,516.46,523.24,1270000
1785268800000,523.24,530.48,521.74,528.98,1275000
1785355200000,528.98,536.4,527.48,534.9,1280000
1785441600000,534.9,542.21,533.4,540.71,1285000
1785528000000,540.71,547.61,539.21,546.11,1290000
1785787200000,546.11,552.34,544.61,550.84,1295000
