time,open,high,low,close,volume
1775174400000,100,101,99,100,1000000
1775260800000,100,101,99,100,1010000
1775347200000,100,101,99,100,1020000
1775433600000,100,101,99,100,1030000
1775520000000,100,101,99,100,1040000
1775606400000,100,102,99,101,1050000
1775692800000,101,104,100,103,1060000
1775779200000,103,107,102,106,1070000
1775865600000,106,111,105,110,1080000
1775952000000,110,115,109,114,1090000
1776038400000,114,118,113,117,1100000
1776124800000,117,120,116,119,1110000
1776211200000,119,121,118,120,1120000
1776297600000,120,121,118,119,1130000
1776384000000,119,120,116,117,1140000
1776470400000,117,118,113,114,1150000
1776556800000,114,115,109,110,1160000
1776643200000,110,111,105,106,1170000
1776729600000,106,107,101,102,1180000
1776816000000,102,103,97,98,1190000
1776902400000,98,99,94,95,1200000
1776988800000,95,96,92,93,1210000
1777075200000,93,94,91,92,1220000
1777161600000,92,94,91,93,1230000
1777248000000,93,96,92,95,1240000
1777334400000,95,99,94,98,1250000
1777420800000,98,103,97,102,1260000
1777507200000,102,108,101,107,1270000
1777593600000,107,113,106,112,1280000
1777680000000,112,117,111,116,1290000
1777766400000,116,120,115,119,1300000
1777852800000,119,122,118,121,1310000
1777939200000,121,122,119,120,1320000
1778025600000,120,121,117,118,1330000
1778112000000,118,119,114,115,1340000
1778198400000,115,116,110,111,1350000
1778284800000,111,112,106,107,1360000
1778371200000,107,108,102,103,1370000
1778457600000,103,104,98,99,1380000
1778544000000,99,100,95,96,1390000
1778630400000,96,97,93,94,1400000
1778716800000,94,95,92,93,1410000
1778803200000,93,94,91,92,1420000
